store_id,product_id,week_start_date,weekly_units_sold,weekly_units_ordered,avg_inventory_level,avg_price,avg_discount,avg_competitor_pricing,avg_demand_forecast,dominant_seasonality,dominant_weather_condition,holiday_promotion_flag
S001,P0001,2021-12-27,208,159,173.5,30.725,15.0,30.29,114.205,Autumn,Cloudy,0
S001,P0001,2022-01-03,706,977,210.57142857142858,60.300000000000004,12.857142857142858,58.887142857142855,102.6557142857143,Winter,Sunny,1
S001,P0001,2022-01-10,686,1031,182.28571428571428,52.839999999999996,10.0,53.48285714285714,101.78714285714285,Winter,Snowy,1
S001,P0001,2022-01-17,1142,1051,293.7142857142857,59.67285714285714,7.857142857142857,59.63,168.50142857142856,Spring,Cloudy,1
S001,P0001,2022-01-24,685,740,269.0,65.42142857142856,11.428571428571429,66.24571428571429,106.82571428571428,Autumn,Snowy,1
S001,P0001,2022-01-31,1032,870,333.57142857142856,46.08571428571429,8.571428571428571,45.11857142857143,161.12285714285716,Summer,Cloudy,1
S001,P0001,2022-02-07,708,647,243.85714285714286,61.23285714285714,6.428571428571429,61.67142857142857,104.38000000000001,Spring,Rainy,1
S001,P0001,2022-02-14,994,847,230.85714285714286,61.83,7.857142857142857,60.84142857142857,145.61142857142858,Winter,Rainy,1
S001,P0001,2022-02-21,1222,875,275.42857142857144,37.28142857142858,12.857142857142858,39.94571428571429,180.16,Spring,Cloudy,1
S001,P0001,2022-02-28,1259,644,348.7142857142857,42.99571428571429,9.285714285714286,42.90714285714286,180.27285714285716,Winter,Snowy,1
S001,P0001,2022-03-07,983,990,326.14285714285717,67.15857142857143,11.428571428571429,67.62142857142858,148.61999999999998,Autumn,Sunny,1
S001,P0001,2022-03-14,946,704,197.85714285714286,42.097142857142856,14.285714285714286,41.44285714285714,140.0442857142857,Summer,Snowy,1
S001,P0001,2022-03-21,552,811,210.0,64.25571428571429,7.857142857142857,64.76428571428572,85.27428571428571,Autumn,Snowy,1
S001,P0001,2022-03-28,476,725,260.42857142857144,58.044285714285714,5.0,58.05714285714286,75.20714285714287,Summer,Rainy,1
S001,P0001,2022-04-04,936,898,262.0,63.537142857142854,9.285714285714286,62.04,143.89285714285714,Spring,Rainy,1
S001,P0001,2022-04-11,1563,853,344.0,74.49428571428572,10.0,75.22714285714287,224.74,Spring,Cloudy,1
S001,P0001,2022-04-18,877,762,234.57142857142858,52.99,14.285714285714286,53.55571428571428,126.52142857142857,Winter,Rainy,1
S001,P0001,2022-04-25,1295,658,273.85714285714283,40.480000000000004,10.0,42.35285714285715,183.57,Spring,Cloudy,1
S001,P0001,2022-05-02,266,815,249.85714285714286,45.80571428571428,13.571428571428571,47.32571428571429,42.885714285714286,Spring,Rainy,1
S001,P0001,2022-05-09,1017,761,326.0,49.80142857142857,8.571428571428571,49.42857142857143,146.3057142857143,Autumn,Sunny,1
S001,P0001,2022-05-16,912,650,272.2857142857143,67.28428571428572,11.428571428571429,66.5657142857143,136.35714285714286,Winter,Sunny,1
S001,P0001,2022-05-23,943,807,212.0,32.91571428571429,7.857142857142857,33.48142857142857,143.63857142857142,Spring,Cloudy,1
S001,P0001,2022-05-30,1236,779,245.71428571428572,55.160000000000004,11.428571428571429,53.88285714285714,180.78428571428572,Spring,Rainy,1
S001,P0001,2022-06-06,1426,619,299.0,57.778571428571425,9.285714285714286,59.402857142857144,208.59857142857143,Spring,Rainy,1
S001,P0001,2022-06-13,862,816,256.42857142857144,62.11571428571428,12.857142857142858,61.58,130.02285714285713,Spring,Snowy,1
S001,P0001,2022-06-20,1207,1009,335.14285714285717,48.541428571428575,9.285714285714286,47.35285714285715,176.8042857142857,Autumn,Snowy,1
S001,P0001,2022-06-27,612,784,263.57142857142856,49.85857142857143,2.142857142857143,49.93142857142857,88.64857142857143,Summer,Rainy,1
S001,P0001,2022-07-04,472,934,259.57142857142856,58.71142857142858,10.714285714285714,59.76,70.86142857142856,Summer,Snowy,1
S001,P0001,2022-07-11,1079,1048,220.14285714285714,59.13714285714286,15.0,57.98428571428571,154.30857142857144,Autumn,Cloudy,1
